Settlement,Raw Sugar,Crude Oil,Wheat,Corn,Arabica Coffee,Gold,Soybean,Dow Jone,RBOB Gasoline,Specs Net Long,Line(QBRL=),Line(QTHB=),Line(QINR=),Line(Q.DXY),Line(QAUD=)
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,,ค่าเงินบราซิล,ค่าเงินไทย,ค่าเงินอินเดีย, Dollar Index,ค่าเงินออสเตรเลีย
19/6/2017,13.46,44.2,472.5,375.25,124.2,1244.2,937.75,21528.99,1.4506,-162655,3.2925,33.93,64.45,97.164,0.7616
20/6/2017,13.61,43.23,474.25,370,121.95,1241,927.75,21467.14,1.424,-145973,3.2824,33.96,64.47,97.548,0.7594
21/6/2017,13.06,42.53,467.75,368.75,119.35,1243.4,918.75,21410.03,1.4105,-144595,3.3264,34,64.54,97.76,0.7579
22/6/2017,12.84,42.74,467.75,362.75,113.45,1247.6,904,21397.29,1.4345,-165677,3.336,33.99,64.53,97.559,0.755
23/6/2017,12.97,43.01,464.25,357.75,119.95,1256.2,904.5,21394.76,1.4341,-128802,3.3415,33.98,64.59,97.593,0.7541
26/6/2017,12.61,43.38,453,359,121.95,1246.3,906.75,21409.55,1.4387,-162142,3.3427,33.92,64.48,97.264,0.7565
27/6/2017,12.65,44.24,457.25,359.25,122.75,1246.4,911.25,21310.66,1.4598,-167487,3.2961,33.95,64.43,97.426,0.7582
28/6/2017,12.55,44.74,461.5,356.75,122.75,1248,914,21454.61,1.4833,-173686,3.3125,33.97,64.47,96.394,0.7582
29/6/2017,13.3,44.93,480.5,359.75,124.75,1244.2,915.5,21287.03,1.4856,-176598,3.2795,33.95,64.5,96.01,0.764
30/6/2017,13.68,46.04,511.25,370.5,124.05,1240.7,942.25,21349.63,1.5152,-174751,3.3033,33.99,64.66,95.628,0.7682
3/7/2017,13.92,47.07,541.25,378,125.85,1217.9,964.75,21479.27,1.5348,-165161,3.3063,33.92,64.61,95.628,0.7686
4/7/2017,13.92,47.07,541.25,378,125.85,1217.9,964.75,21479.27,1.5348,-169186,3.3003,33.98,64.84,96.218,0.766
5/7/2017,13.72,45.13,551.25,381.75,127.65,1220.4,976.25,21478.17,1.5024,-161467,3.309,33.99,64.78,96.218,0.76
6/7/2017,13.92,45.52,530.5,380.25,126.75,1222.2,980.75,21320.04,1.5287,-150420,3.2883,34,64.8,96.29,0.76
7/7/2017,14.15,44.23,526.5,382.25,126.55,1208.6,996,21414.34,1.4984,-144055,3.2959,34.05,64.72,95.802,0.7585
